Check Number,Date,Amount
3514,2025-01-10,15089.0
3515,2025-01-17,20478.0
3516,2025-01-23,22317.0
3517,2025-01-30,15109.0
3518,2025-02-07,22452.0
3519,2025-02-14,31311.0
3520,2025-02-21,14305.0
3521,2025-02-28,22428.0
3522,2025-03-07,26047.0
3523,2025-03-14,15416.0
3524,2025-03-21,18566.0
3525,2025-03-27,7854.0
3526,2025-04-04,17703.0
3527,2025-04-11,19366.0
3528,2025-04-18,5270.0
3529,2025-04-25,20326.0
3530,2025-05-02,19869.0
3531,2025-05-09,29015.0
3532,2025-05-15,18556.0
3533,2025-05-22,8220.0
3534,2025-05-29,21725.0
3535,2025-06-05,20850.0
3536,2025-06-12,14637.0
3537,2025-06-20,22821.0
3538,2025-06-27,27763.0
3604,2025-01-13,2235.0
3665,2025-01-07,3230.0
3666,2025-01-07,1550.0
3667,2025-01-07,1350.0
3668,2025-01-07,3890.0
3669,2025-01-07,3200.0
3670,2025-01-09,3100.0
3671,2025-01-09,1920.0
3672,2025-01-09,1670.0
3673,2025-01-09,1440.0
3674,2025-01-09,3166.0
3675,2025-01-09,2970.0
3676,2025-01-09,2800.0
3677,2025-01-09,3020.0
3678,2025-01-09,3040.0
3679,2025-01-09,6670.0
3680,2025-01-10,17326.0
3681,2025-01-10,7135.0
3682,2025-01-10,4367.0
3683,2025-01-10,47400.0
3684,2025-01-10,36796.0
3685,2025-01-14,2180.0
3686,2025-01-14,2260.0
3687,2025-01-14,2760.0
3688,2025-01-14,2974.0
3689,2025-01-14,2800.0
3690,2025-01-14,1470.0
3691,2025-01-14,2722.0
3692,2025-01-14,1230.0
3693,2025-01-14,2517.0
3694,2025-01-14,1630.0
3695,2025-01-14,1570.0
3696,2025-01-14,2555.0
3697,2025-01-16,2520.0
3698,2025-01-16,2515.0
3699,2025-01-16,1450.0
3700,2025-01-16,1500.0
3701,2025-01-16,5655.0
3702,2025-01-16,16313.0
3703,2025-01-16,32840.0
3704,2025-01-16,13123.0
3705,2025-01-16,41751.0
3706,2025-01-16,50240.0
3707,2025-01-31,1200.0
3708,2025-01-21,2400.0
3709,2025-01-21,2880.0
3710,2025-01-21,2560.0
3711,2025-01-21,2460.0
3712,2025-01-21,1420.0
3713,2025-01-21,1450.0
3714,2025-01-21,1400.0
3715,2025-01-21,2670.0
3716,2025-01-21,2650.0
3717,2025-01-21,1740.0
3718,2025-01-21,2640.0
3719,2025-01-21,2610.0
3720,2025-01-21,2800.0
3721,2025-01-21,2610.0
3722,2025-01-21,1680.0
3723,2025-01-21,1650.0
3724,2025-01-22,2880.0
3725,2025-01-22,2825.0
3726,2025-01-22,7450.0
3727,2025-01-23,2400.0
3728,2025-01-23,7435.0
3729,2025-01-23,22688.0
3730,2025-01-23,52002.0
3731,2025-01-23,56470.0
3732,2025-01-23,22358.0
3733,2025-01-23,2025.0
3734,2025-01-23,3300.0
3735,2025-01-27,2500.0
3736,2025-01-27,2700.0
3737,2025-01-27,1435.0
3739,2025-01-27,2633.0
3740,2025-01-27,2440.0
3742,2025-01-27,2500.0
3743,2025-01-27,2633.0
3744,2025-01-27,2380.0
3745,2025-01-27,1592.0
3746,2025-01-27,1620.0
3748,2025-01-29,1880.0
3749,2025-01-29,2440.0
3750,2025-01-29,2750.0
3751,2025-01-29,2400.0
3752,2025-01-29,2886.0
3753,2025-01-29,1650.0
3754,2025-01-29,1705.0
3755,2025-01-31,1550.0
3756,2025-01-30,1770.0
3758,2025-01-29,10000.0
3759,2025-01-30,4907.0
3760,2025-01-30,48080.0
3761,2025-01-30,25518.0
3762,2025-01-30,34143.0
3763,2025-01-31,54985.0
3764,2025-02-03,3220.0
3765,2025-02-03,2820.0
3766,2025-02-03,2760.0
3767,2025-02-03,2500.0
3768,2025-02-03,2825.0
3769,2025-02-03,2670.0
3770,2025-02-03,2890.0
3771,2025-02-03,1370.0
3772,2025-02-03,2820.0
3773,2025-02-03,2600.0
3774,2025-02-03,2380.0
3775,2025-02-03,2630.0
3776,2025-02-03,1470.0
3777,2025-02-03,1440.0
3778,2025-04-23,3450.0
3779,2025-02-05,5500.0
3780,2025-02-06,1669.0
3781,2025-02-06,1045.0
3782,2025-02-06,28059.0
3783,2025-02-06,57198.0
3784,2025-02-06,47429.0
3785,2025-02-06,24661.0
3786,2025-02-06,7650.0
3787,2025-02-06,2600.0
3788,2025-02-06,1000.0
3789,2025-02-06,2800.0
3790,2025-02-06,1510.0
3791,2025-02-06,1510.0
3792,2025-02-11,2760.0
3793,2025-02-11,2350.0
3794,2025-02-11,2500.0
3795,2025-02-11,3000.0
3796,2025-02-11,2720.0
3797,2025-02-11,2770.0
3798,2025-02-11,3000.0
3799,2025-02-11,1460.0
3800,2025-02-11,1460.0
3801,2025-02-11,1763.0
3802,2025-02-11,1603.0
3803,2025-02-11,2140.0
3804,2025-02-11,2010.0
3805,2025-02-11,2625.0
3806,2025-02-11,2930.0
3807,2025-02-13,4967.0
3808,2025-02-13,4474.0
3809,2025-02-13,35111.0
3810,2025-02-13,25188.0
3811,2025-02-13,55546.0
3812,2025-02-13,51587.0
3813,2025-02-13,2730.0
3814,2025-02-13,950.0
3815,2025-02-13,915.0
3816,2025-02-13,2840.0
3817,2025-02-18,2500.0
3818,2025-02-18,1350.0
3819,2025-02-18,1350.0
3820,2025-02-18,2700.0
3821,2025-02-18,2320.0
3822,2025-02-18,3075.0
3823,2025-02-18,2930.0
3824,2025-02-20,7530.0
3825,2025-02-20,3154.0
3826,2025-02-20,2956.0
3827,2025-02-20,2570.0
3828,2025-02-20,1360.0
3829,2025-02-20,1685.0
3830,2025-02-20,2550.0
3831,2025-02-20,1500.0
3833,2025-02-20,1525.0
3834,2025-02-20,2400.0
3835,2025-02-20,2953.0
3836,2025-02-20,2800.0
3837,2025-02-20,5243.0
3838,2025-02-20,7376.0
3839,2025-02-20,19434.0
3840,2025-02-20,24270.0
3841,2025-02-20,49569.0
3842,2025-02-20,44112.0
3843,2025-02-20,3070.0
3844,2025-02-24,2774.0
3845,2025-02-24,3150.0
3846,2025-02-24,1500.0
3847,2025-02-24,1470.0
3848,2025-02-24,3300.0
3849,2025-02-24,1360.0
3850,2025-02-24,1360.0
3851,2025-02-26,1400.0
3852,2025-02-27,2640.0
3853,2025-02-27,2670.0
3854,2025-02-27,2660.0
3855,2025-02-27,2540.0
3856,2025-02-27,2581.0
3857,2025-02-27,1160.0
3858,2025-02-27,4382.0
3859,2025-02-27,1327.0
3860,2025-02-27,23087.0
3861,2025-02-27,15467.0
3862,2025-02-27,70505.0
3863,2025-02-27,49594.0
3864,2025-02-27,1580.0
3865,2025-02-27,1550.0
3866,2025-03-03,2825.0
3867,2025-03-03,2620.0
3868,2025-03-03,2670.0
3869,2025-03-03,2560.0
3870,2025-03-03,2685.0
3871,2025-03-03,2900.0
3872,2025-03-03,1360.0
3873,2025-03-03,1360.0
3874,2025-03-03,3362.0
3875,2025-03-03,1640.0
3876,2025-03-03,2300.0
3877,2025-03-03,2725.0
3878,2025-03-06,1020.0
3879,2025-03-06,6665.0
3880,2025-03-06,22285.0
3881,2025-03-06,17878.0
3882,2025-03-06,49433.0
3883,2025-03-06,44724.0
3884,2025-03-06,2580.0
3885,2025-03-06,7306.0
3886,2025-03-06,2550.0
3887,2025-03-06,2520.0
3888,2025-03-06,2320.0
3889,2025-03-07,3129.0
3890,2025-03-07,2730.0
3891,2025-03-07,1960.0
3892,2025-03-07,2800.0
3893,2025-03-07,2610.0
3894,2025-03-07,1380.0
3895,2025-03-07,1380.0
3896,2025-03-07,10000.0
3897,2025-03-24,3500.0
3898,2025-03-21,4100.0
3899,2025-03-10,2635.0
3900,2025-03-10,2720.0
3901,2025-03-10,3300.0
3902,2025-03-10,2590.0
3903,2025-03-10,2750.0
3904,2025-03-27,1150.0
3906,2025-03-13,5799.0
3907,2025-03-13,25033.0
3908,2025-03-13,32454.0
3909,2025-03-13,43451.0
3910,2025-03-13,74853.0
3911,2025-03-13,1525.0
3912,2025-03-13,1465.0
3913,2025-03-13,3100.0
3914,2025-03-13,4901.0
3915,2025-03-17,3043.0
3916,2025-03-17,2675.0
3917,2025-03-17,2610.0
3918,2025-03-17,2185.0
3919,2025-03-17,2800.0
3920,2025-03-17,2550.0
3921,2025-03-17,3000.0
3922,2025-03-17,2715.0
3923,2025-03-17,3200.0
3924,2025-03-17,2610.0
3925,2025-03-17,2510.0
3926,2025-03-17,1850.0
3927,2025-03-17,1950.0
3928,2025-03-19,3000.0
3929,2025-03-20,7340.0
3930,2025-03-20,2785.0
3931,2025-03-20,1550.0
3932,2025-03-20,1550.0
3933,2025-03-20,1670.0
3934,2025-03-20,1670.0
3935,2025-03-20,2435.0
3936,2025-03-20,1720.0
3937,2025-03-20,1972.0
3938,2025-03-20,4813.0
3939,2025-03-20,18541.0
3940,2025-03-20,7638.0
3941,2025-03-20,49768.0
3942,2025-03-20,50246.0
3943,2025-03-24,3525.0
3944,2025-03-24,2510.0
3945,2025-03-24,2700.0
3946,2025-03-24,1580.0
3947,2025-03-24,2760.0
3948,2025-03-24,1550.0
3949,2025-03-24,1550.0
3950,2025-03-27,9994.0
3951,2025-03-27,9703.0
3953,2025-03-27,22342.0
3954,2025-03-27,66564.0
3955,2025-03-27,37847.0
3956,2025-03-26,10000.0
3957,2025-03-27,26517.0
3958,2025-03-27,1545.0
3959,2025-03-27,1545.0
3960,2025-03-27,3350.0
3961,2025-03-27,2780.0
3962,2025-03-27,920.0
3963,2025-03-27,3020.0
3964,2025-03-27,3050.0
3965,2025-03-27,2965.0
3966,2025-04-01,2757.0
3967,2025-04-01,1830.0
3968,2025-04-01,1895.0
3969,2025-04-01,2700.0
3970,2025-04-01,2975.0
3971,2025-04-01,3700.0
3972,2025-04-01,2720.0
3973,2025-04-01,1655.0
3974,2025-04-01,2070.0
3975,2025-04-01,2750.0
3976,2025-04-01,2900.0
3977,2025-04-03,7486.0
3978,2025-04-03,5955.0
3979,2025-04-03,2085.0
3980,2025-04-03,2125.0
3981,2025-04-03,19814.0
3982,2025-04-03,12283.0
3983,2025-04-03,54999.0
3984,2025-04-03,54712.0
3985,2025-04-03,7720.0
3986,2025-04-03,3310.0
3987,2025-04-03,2750.0
3988,2025-04-03,1645.0
3989,2025-04-03,1470.0
3990,2025-04-03,2830.0
3991,2025-04-03,3400.0
3992,2025-04-03,2800.0
3993,2025-04-07,2825.0
3994,2025-04-07,2370.0
3995,2025-04-07,2850.0
3996,2025-04-07,2620.0
3997,2025-04-07,2310.0
3998,2025-04-07,2585.0
3999,2025-04-07,1465.0
4000,2025-04-07,1465.0
4001,2025-04-07,2850.0
4002,2025-04-07,3000.0
4003,2025-04-10,1747.0
4004,2025-04-10,4649.0
4005,2025-04-10,3997.0
4006,2025-04-10,5286.0
4007,2025-04-10,29654.0
4008,2025-04-10,26523.0
4009,2025-04-10,39045.0
4010,2025-04-10,19936.0
4011,2025-04-10,1540.0
4012,2025-04-10,1540.0
4013,2025-04-10,2710.0
4014,2025-04-10,2670.0
4015,2025-04-10,1500.0
4016,2025-04-10,3000.0
4017,2025-04-14,2400.0
4018,2025-04-14,2600.0
4019,2025-04-14,2910.0
4020,2025-04-14,2850.0
4021,2025-04-14,3040.0
4022,2025-04-14,2820.0
4023,2025-04-16,2300.0
4024,2025-04-16,1571.0
4025,2025-04-16,1571.0
4026,2025-04-16,3270.0
4027,2025-04-16,2550.0
4028,2025-04-16,2785.0
4029,2025-04-16,2660.0
4030,2025-04-16,10000.0
4032,2025-04-16,2710.0
4033,2025-04-16,2075.0
4034,2025-04-16,2075.0
4035,2025-04-17,1920.0
4036,2025-04-17,7825.0
4037,2025-04-17,9051.0
4038,2025-04-17,6209.0
4039,2025-04-17,1636.0
4040,2025-04-17,5375.0
4041,2025-04-17,25359.0
4042,2025-04-17,32010.0
4044,2025-04-17,66140.0
4045,2025-04-17,3289.0
4046,2025-04-17,50475.0
4047,2025-04-25,2850.0
4048,2025-04-21,2270.0
4049,2025-04-21,1600.0
4050,2025-04-21,1600.0
4051,2025-04-21,3200.0
4052,2025-04-21,2635.0
4053,2025-04-21,2480.0
4054,2025-04-21,2070.0
4055,2025-04-21,770.0
4056,2025-04-21,2463.0
4058,2025-04-23,2710.0
4059,2025-04-24,4811.0
4060,2025-04-24,6617.0
4061,2025-04-24,7132.0
4062,2025-04-24,7488.0
4063,2025-04-24,11695.0
4064,2025-04-24,3688.0
4065,2025-04-24,14629.0
4066,2025-04-24,47447.0
4067,2025-04-24,50219.0
4068,2025-04-24,2900.0
4069,2025-04-24,2330.0
4070,2025-04-24,1600.0
4071,2025-04-24,1820.0
4072,2025-04-28,10000.0
4073,2025-04-30,1565.0
4074,2025-04-30,1565.0
4075,2025-04-30,1600.0
4076,2025-04-30,2260.0
4077,2025-04-30,1590.0
4078,2025-04-30,1475.0
4079,2025-04-30,2900.0
4080,2025-04-30,2875.0
4081,2025-04-30,2800.0
4082,2025-04-30,2600.0
4083,2025-04-30,2800.0
4084,2025-04-30,2480.0
4085,2025-04-30,2620.0
4086,2025-04-30,4700.0
4087,2025-04-30,3500.0
4088,2025-04-30,3240.0
4089,2025-05-01,7323.0
4090,2025-05-01,2641.0
4091,2025-05-01,2701.0
4092,2025-05-01,4295.0
4093,2025-05-01,4941.0
4094,2025-05-01,31633.0
4095,2025-05-01,11330.0
4096,2025-05-01,15806.0
4097,2025-05-01,45435.0
4098,2025-05-01,39384.0
4099,2025-05-01,1600.0
4100,2025-05-01,1740.0
4101,2025-05-01,2850.0
4102,2025-05-05,2730.0
4103,2025-05-05,1655.0
4104,2025-05-05,1355.0
4105,2025-05-12,4700.0
4106,2025-05-05,475.0
4107,2025-05-05,415.0
4108,2025-05-05,1900.0
4109,2025-05-05,1350.0
4110,2025-05-05,1350.0
4111,2025-05-05,2480.0
4112,2025-05-05,2690.0
4113,2025-05-05,2365.0
4114,2025-05-06,1830.0
4115,2025-05-08,644.0
4116,2025-05-08,2205.0
4117,2025-05-08,4282.0
4118,2025-05-08,18030.0
4119,2025-05-08,14727.0
4120,2025-05-08,29090.0
4121,2025-05-08,46785.0
4122,2025-05-08,41678.0
4123,2025-05-08,2670.0
4124,2025-05-08,1535.0
4125,2025-05-08,1535.0
4126,2025-05-08,1435.0
4127,2025-05-08,1325.0
4128,2025-05-08,1680.0
4129,2025-05-08,2770.0
4130,2025-05-08,3285.0
4131,2025-05-08,2450.0
4132,2025-05-12,10000.0
4133,2025-05-14,3570.0
4134,2025-05-12,2560.0
4135,2025-05-12,3850.0
4136,2025-05-12,2568.0
4137,2025-05-12,2580.0
4138,2025-05-12,1325.0
4139,2025-05-12,1225.0
4140,2025-05-12,1110.0
4141,2025-05-12,1500.0
4142,2025-05-12,1500.0
4143,2025-05-12,1500.0
4144,2025-05-12,1500.0
4145,2025-05-15,6174.0
4146,2025-05-15,8784.0
4147,2025-05-15,6409.0
4148,2025-05-15,28399.0
4149,2025-05-15,16308.0
4150,2025-05-15,21566.0
4151,2025-05-15,46238.0
4152,2025-05-15,51241.0
4153,2025-05-15,8015.0
4154,2025-05-21,3000.0
4155,2025-05-19,2225.0
4156,2025-05-19,3200.0
4157,2025-05-20,2550.0
4158,2025-05-20,1600.0
4159,2025-05-20,2610.0
4160,2025-05-20,2850.0
4161,2025-05-20,1470.0
4162,2025-05-20,1470.0
4163,2025-05-20,2040.0
4164,2025-05-22,2550.0
4165,2025-05-22,1580.0
4166,2025-05-22,1580.0
4167,2025-05-22,3330.0
4169,2025-05-22,2800.0
4170,2025-05-22,1078.0
4171,2025-05-22,290.0
4172,2025-05-22,3287.0
4173,2025-05-22,17937.0
4174,2025-05-22,47954.0
4175,2025-05-22,1161.0
4176,2025-05-22,45484.0
4177,2025-05-23,10000.0
4178,2025-05-27,1560.0
4179,2025-05-27,1690.0
4180,2025-05-27,1430.0
4181,2025-05-27,2375.0
4182,2025-05-27,3670.0
4183,2025-05-27,2416.0
4184,2025-05-27,1815.0
4185,2025-06-20,2500.0
4186,2025-06-05,2570.0
4187,2025-05-28,3135.0
4188,2025-05-28,1980.0
4189,2025-05-29,6549.0
4190,2025-05-29,2482.0
4191,2025-05-29,5678.0
4192,2025-05-29,8954.0
4193,2025-05-29,9639.0
4194,2025-05-29,52999.0
